"","age","not_vax","not_vax_pct","full_vax","full_vax_pct","not_vax_per100","full_vax_per100"
"1","Over 50",1116834,23.3,3501118,73,43,11
"2","Under 50",186078,7.9,2133516,90.4,171,290
